Group ID,Group 01,Group 02,Group 03,Group 04,Group 05,Group 06,Group 07,Group 13,Group 16
Series ID,A3349338X,A3349556W,A3349639C,A3349348C,A3349860R,A3349775W,A3349822A,A3349849A,A3349576F
NA,Turnover ;  New South Wales ;  Other specialised food retailing ;,Turnover ;  New South Wales ;  Newspaper and book retailing ;,Turnover ;  Victoria ;  Newspaper and book retailing ;,Turnover ;  Queensland ;  Newspaper and book retailing ;,Turnover ;  Total (State) ;  Newspaper and book retailing ;,"Turnover ;  Australian Capital Territory ;  Pharmaceutical, cosmetic and toiletry goods retailing ;",Turnover ;  Western Australia ;  Newspaper and book retailing ;,"Turnover ;  Australian Capital Territory ;  Cafes, restaurants and catering services ;","Turnover ;  South Australia ;  Cafes, restaurants and catering services ;"
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
1982 Apr,63.9,50.4,42.2,18.4,135.1,2.5,9.7,4.4,14.3
1982 May,64,49.9,42.1,17.7,134.9,2.5,11,3.4,14.2
1982 Jun,62.7,48,38.5,17.7,128.2,2.5,10.7,3.6,13.4
1982 Jul,65.6,48.6,38.9,18.4,129.9,2.6,9,4,14.5
1982 Aug,62.6,51.3,39.5,17.8,133,2.8,9.1,3.6,13.6
1982 Sep,64.4,49.6,41.7,18.8,135.5,2.8,10,4.2,13.9
1982 Oct,66,51.6,46.2,20.2,140.6,2.6,7.7,4.8,17.2
1982 Nov,65.3,55.8,43.5,21.5,145.7,3.1,8.4,5.4,17.3
1982 Dec,77.9,69.9,57.2,30.9,194,3.9,11.8,6.9,22.8
1983 Jan,65.1,50.1,43.7,22.8,138.6,2.5,7.4,3.8,15.3
1983 Feb,62.3,64.7,44.3,20.2,152.8,2.5,7.4,4.2,13.9
1983 Mar,65.7,63.1,48.3,20.9,157.3,2.6,7.3,4,16.2
1983 Apr,61.9,51.1,37,18.3,131.2,2.2,7.4,4.4,16.7
1983 May,63.7,54.8,40.1,20.2,142,2.3,8.3,4.3,16.3
1983 Jun,64.9,52.3,38.2,19.8,136,2.2,7.2,4.3,15.7
1983 Jul,69.5,57.7,39,20.8,141,2.3,7.6,4.6,18.2
