Student ID,32876696,33361886,33547084,32958439,31493254,33079013,32683243,34441484,32979843,33933162,32650116,32461550,30571502,32982550,31463355,31559522,33635358,34061347,34856501,33457468,33684847,32634536,32789297,31927874,30032210,34158677,31466095,33118779,31220886,32419864,32633890,33541930,33055602,32469578,33090009,33140014,32431589,34714693,34178694,33252696,32597053,32854587,33102376,32778058,32363869,31158749,32863144,33726787,31451489,34302298,32592523,34543805,33471517,32726554,32986378,28404440,33033935,32286783,29897874,32717148,33061408,33231095,33385521,32322992,32446446,34160213,33361649,32520077,33102112,31941885,33173273,30592976,34102434,34886125,30571707,32528035,33231117,33998396,33380090,32144423,30582865,32204671,31158498,32844743,32620756,31133924,32556373,31365744,33550913,33085617,34764402,33010110,31418457,32092644,30009642,34172254,29622301,33205884,32609299,31470157,33227020,33949212,34123253,32541708,32115407,32898843,31484042,33956189,31059902,33050929,33128952,28768620,29615542,32741618,31492541,32474083,32694164,31566243,34709843,32599757,33250154,30053374,33112398,32494343,31492746,31887163,28687051,31842100,32778430,32064942,30156130,32539479,33182574
Series ID,A3349335T,A3349627V,A3349398A,A3349468W,A3349337W,A3349397X,A3349399C,A3349874C,A3349871W,A3349790V,A3349791W,A3349401C,A3349873A,A3349872X,A3349555V,A3349565X,A3349414R,A3349642T,A3349564W,A3349416V,A3349643V,A3349722T,A3349727C,A3349641R,A3349349F,A3349563V,A3349350R,A3349566A,A3349352V,A3349882C,A3349721R,A3349478A,A3349637X,A3349479C,A3349797K,A3349477X,A3349719C,A3349884J,A3349562T,A3349480L,A3349476W,A3349881A,A3349410F,A3349718A,A3349638A,A3349654A,A3349816F,A3349432V,A3349501L,A3349503T,A3349903C,A3349905J,A3349658K,A3349500K,A3349577J,A3349433W,A3349574A,A3349816F,A3349815C,A3349744F,A3349823C,A3349508C,A3349742A,A3349660W,A3349824F,A3349507A,A3349580W,A3349825J,A3349434X,A3349821X,A3349581X,A3349908R,A3349743C,A3349435A,A3349365F,A3349746K,A3349370X,A3349764R,A3349589T,A3349591C,A3349835L,A3349520V,A3349841J,A3349925T,A3349527K,A3349378T,A3349842K,A3349532C,A3349931L,A3349688X,A3349774V,A3349848X,A3349457R,A3349851L,A3349604C,A3349608L,A3349609R,A3349852R,A3349776X,A3349607K,A3349932R,A3349862V,A3349462J,A3349463K,A3349334R,A3349863W,A3349781T,A3349861T,A3349626T,A3349617R,A3349546T,A3349787F,A3349333L,A3349464L,A3349389X,A3349461F,A3349788J,A3349388W,A3349396W,A3349337W,A3349787F,A3349764R,A3349848X,A3349349F,A3349399C,A3349841J,A3349774V,A3349480L,A3349851L,A3349591C,A3349862V,A3349790V,A3349872X
Sector,Turnover ;  New South Wales ;  Supermarket and grocery stores ;,Turnover ;  New South Wales ;  Liquor retailing ;,Turnover ;  New South Wales ;  Food retailing ;,"Turnover ;  New South Wales ;  Furniture, floor coverings, houseware and textile goods retailing ;","Turnover ;  New South Wales ;  Hardware, building and garden supplies retailing ;",Turnover ;  New South Wales ;  Household goods retailing ;,Turnover ;  New South Wales ;  Clothing retailing ;,Turnover ;  New South Wales ;  Footwear and other personal accessory retailing ;,"Turnover ;  New South Wales ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  New South Wales ;  Department stores ;,Turnover ;  New South Wales ;  Other recreational goods retailing ;,"Turnover ;  New South Wales ;  Pharmaceutical, cosmetic and toiletry goods retailing ;",Turnover ;  New South Wales ;  Other retailing n.e.c. ;,Turnover ;  New South Wales ;  Other retailing ;,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Supermarket and grocery stores ;,Turnover ;  Victoria ;  Liquor retailing ;,Turnover ;  Victoria ;  Food retailing ;,Turnover ;  Victoria ;  Electrical and electronic goods retailing ;,"Turnover ;  Victoria ;  Hardware, building and garden supplies retailing ;",Turnover ;  Victoria ;  Household goods retailing ;,Turnover ;  Victoria ;  Footwear and other personal accessory retailing ;,"Turnover ;  Victoria ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  Victoria ;  Department stores ;,"Turnover ;  Victoria ;  Pharmaceutical, cosmetic and toiletry goods retailing ;",Turnover ;  Victoria ;  Other retailing n.e.c. ;,Turnover ;  Victoria ;  Other retailing ;,Turnover ;  Victoria ;  Takeaway food services ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Supermarket and grocery stores ;,Turnover ;  Queensland ;  Food retailing ;,"Turnover ;  Queensland ;  Furniture, floor coverings, houseware and textile goods retailing ;",Turnover ;  Queensland ;  Electrical and electronic goods retailing ;,"Turnover ;  Queensland ;  Hardware, building and garden supplies retailing ;",Turnover ;  Queensland ;  Household goods retailing ;,Turnover ;  Queensland ;  Clothing retailing ;,Turnover ;  Queensland ;  Footwear and other personal accessory retailing ;,"Turnover ;  Queensland ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  Queensland ;  Department stores ;,Turnover ;  Queensland ;  Other recreational goods retailing ;,"Turnover ;  Queensland ;  Pharmaceutical, cosmetic and toiletry goods retailing ;",Turnover ;  Queensland ;  Other retailing n.e.c. ;,Turnover ;  Queensland ;  Other retailing ;,Turnover ;  Queensland ;  Takeaway food services ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Supermarket and grocery stores ;,"Turnover ;  South Australia ;  Cafes, restaurants and takeaway food services ;",Turnover ;  South Australia ;  Food retailing ;,"Turnover ;  South Australia ;  Hardware, building and garden supplies retailing ;",Turnover ;  South Australia ;  Household goods retailing ;,Turnover ;  South Australia ;  Footwear and other personal accessory retailing ;,"Turnover ;  South Australia ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  South Australia ;  Department stores ;,"Turnover ;  South Australia ;  Pharmaceutical, cosmetic and toiletry goods retailing ;",Turnover ;  South Australia ;  Other retailing n.e.c. ;,Turnover ;  South Australia ;  Other retailing ;,Turnover ;  South Australia ;  Takeaway food services ;,"Turnover ;  South Australia ;  Cafes, restaurants and takeaway food services ;",Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Supermarket and grocery stores ;,Turnover ;  Western Australia ;  Liquor retailing ;,Turnover ;  Western Australia ;  Other specialised food retailing ;,Turnover ;  Western Australia ;  Food retailing ;,Turnover ;  Western Australia ;  Electrical and electronic goods retailing ;,Turnover ;  Western Australia ;  Household goods retailing ;,Turnover ;  Western Australia ;  Clothing retailing ;,Turnover ;  Western Australia ;  Footwear and other personal accessory retailing ;,"Turnover ;  Western Australia ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  Western Australia ;  Department stores ;,Turnover ;  Western Australia ;  Other recreational goods retailing ;,"Turnover ;  Western Australia ;  Pharmaceutical, cosmetic and toiletry goods retailing ;",Turnover ;  Western Australia ;  Other retailing n.e.c. ;,Turnover ;  Western Australia ;  Other retailing ;,Turnover ;  Western Australia ;  Takeaway food services ;,"Turnover ;  Western Australia ;  Cafes, restaurants and takeaway food services ;",Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Supermarket and grocery stores ;,Turnover ;  Tasmania ;  Food retailing ;,Turnover ;  Tasmania ;  Electrical and electronic goods retailing ;,Turnover ;  Tasmania ;  Other recreational goods retailing ;,Turnover ;  Tasmania ;  Takeaway food services ;,"Turnover ;  Tasmania ;  Cafes, restaurants and takeaway food services ;",Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Supermarket and grocery stores ;,Turnover ;  Northern Territory ;  Food retailing ;,Turnover ;  Northern Territory ;  Footwear and other personal accessory retailing ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Supermarket and grocery stores ;,Turnover ;  Australian Capital Territory ;  Liquor retailing ;,Turnover ;  Australian Capital Territory ;  Food retailing ;,Turnover ;  Australian Capital Territory ;  Electrical and electronic goods retailing ;,"Turnover ;  Australian Capital Territory ;  Hardware, building and garden supplies retailing ;",Turnover ;  Australian Capital Territory ;  Household goods retailing ;,Turnover ;  Australian Capital Territory ;  Clothing retailing ;,Turnover ;  Australian Capital Territory ;  Footwear and other personal accessory retailing ;,"Turnover ;  Australian Capital Territory ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  Australian Capital Territory ;  Department stores ;,Turnover ;  Australian Capital Territory ;  Other recreational goods retailing ;,Turnover ;  Australian Capital Territory ;  Other retailing n.e.c. ;,Turnover ;  Australian Capital Territory ;  Other retailing ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Supermarket and grocery stores ;,Turnover ;  Total (State) ;  Liquor retailing ;,Turnover ;  Total (State) ;  Other specialised food retailing ;,Turnover ;  Total (State) ;  Food retailing ;,"Turnover ;  Total (State) ;  Furniture, floor coverings, houseware and textile goods retailing ;",Turnover ;  Total (State) ;  Electrical and electronic goods retailing ;,"Turnover ;  Total (State) ;  Hardware, building and garden supplies retailing ;",Turnover ;  Total (State) ;  Household goods retailing ;,Turnover ;  Total (State) ;  Clothing retailing ;,Turnover ;  Total (State) ;  Footwear and other personal accessory retailing ;,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  Total (State) ;  Department stores ;,Turnover ;  Total (State) ;  Other recreational goods retailing ;,"Turnover ;  Total (State) ;  Pharmaceutical, cosmetic and toiletry goods retailing ;",Turnover ;  Total (State) ;  Other retailing n.e.c. ;,Turnover ;  Total (State) ;  Other retailing ;,Turnover ;  Total (State) ;  Takeaway food services ;,Turnover ;  Total (State) ;  Total (Industry) ;,"Turnover ;  New South Wales ;  Hardware, building and garden supplies retailing ;","Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  Tasmania ;  Food retailing ;,"Turnover ;  Australian Capital Territory ;  Hardware, building and garden supplies retailing ;","Turnover ;  Victoria ;  Pharmaceutical, cosmetic and toiletry goods retailing ;",Turnover ;  New South Wales ;  Clothing retailing ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Electrical and electronic goods retailing ;,Turnover ;  Queensland ;  Other recreational goods retailing ;,Turnover ;  Australian Capital Territory ;  Clothing retailing ;,Turnover ;  Tasmania ;  Other recreational goods retailing ;,Turnover ;  Total (State) ;  Supermarket and grocery stores ;,Turnover ;  New South Wales ;  Department stores ;,Turnover ;  New South Wales ;  Other retailing ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
1982 Apr,303.1,41.7,408.7,65.8,53.6,211.3,94,32.7,126.7,178.3,22.2,43,62.4,178,1250.2,257.9,17.3,310.2,55.8,59.1,173.1,26.3,119.9,104.2,31.6,34.4,123.7,48.7,916.2,139.3,161.8,31.8,46.6,13.3,91.6,28.9,13.9,42.8,67.5,11.1,22,25.8,77.3,26.7,486.3,83.5,30.1,100.8,8.6,39.7,6.6,25.7,48.9,7.2,12.9,34.2,15.8,30.1,279.4,96.6,12.3,13.1,122,22.5,50.4,21.4,7.4,28.8,36.5,6.5,14.6,11.3,42.1,10.4,18.4,298.3,26,28.4,5.1,1.8,3.5,5.4,79.9,NA,NA,NA,NA,12.7,1.2,15.5,4.4,2.6,9.7,3.7,2.2,5.9,10.3,1.1,2.2,8.1,57.1,933.4,79.6,149.6,1162.6,200.3,243.4,148.6,592.3,268.5,91.4,359.9,460.1,64.9,125.6,153.5,479.1,196.1,3396.4,53.6,359.9,28.4,2.6,31.6,94,79.9,4.4,11.1,3.7,1.8,933.4,178.3,178
1982 May,297.8,43.1,404.9,65.8,55.4,223.8,105.7,35.6,141.3,202.8,23.1,45.3,63.1,181.5,1300,257.4,18.1,310.1,58.4,59.2,179.5,27.1,122.5,110.2,31.5,34.4,123.9,48.9,931.2,136,158.7,32.8,49.6,12.7,95,30.6,14.7,45.3,69.7,11.7,21.9,25.9,77.2,27.3,492.8,80.6,30,97.1,9.5,45.7,7,28.6,52.2,7.5,13,34.4,15.8,30,288,96.4,11.8,13.4,121.6,27.8,57.9,24.1,8,32.1,43.7,7.2,15.2,11.6,45,10.3,18.3,318.5,25.4,27.7,4.7,1.9,3.5,5.5,78.9,NA,NA,NA,NA,12.1,1.4,15.1,4.9,3.3,11.1,3.8,2.1,5.9,10.6,1,2,8,57.3,920.5,80.8,149.7,1150.9,210.3,268.3,151,629.6,289.8,96.8,386.6,502.6,67.7,128.7,154.8,486.1,196.6,3497.9,55.4,386.6,27.7,3.3,31.5,105.7,78.9,4.9,11.7,3.8,1.9,920.5,202.8,181.5
1982 Jun,298,40.3,401,62.3,48.4,215.7,95.1,32.5,127.6,176.3,22.8,43.7,59.6,174.1,1234.2,261.2,18.1,313.9,53.7,59.8,167.3,24.3,109.6,96.7,29.6,33.5,116.8,47.1,887,143.5,166.6,34.9,51.4,12.9,99.2,30.5,14.5,45.1,60.7,11.5,22.7,25.9,77.7,26.2,494.1,82.3,28.7,98.7,8.4,43.9,6,24.3,48.9,7.5,12.5,32.7,15.3,28.7,277.2,95.6,11.3,13.5,120.4,26.7,54.4,21.4,7,28.5,38,6.6,14.5,10.9,42.5,10.4,17.7,301.5,25.3,27.7,5.2,1.9,3.1,5.1,77.5,NA,NA,NA,NA,12.5,1.3,15.5,4.8,2.7,9.9,3.2,2,5.1,9.9,1,2,7.8,55.3,933.6,77.3,149,1160,198.7,266.1,142.6,607.4,261.9,88.6,350.5,443.8,65.5,125,148.8,467.5,188.5,3357.8,48.4,350.5,27.7,2.7,29.6,95.1,77.5,4.8,11.5,3.2,1.9,933.6,176.3,174.1
1982 Jul,307.9,40.9,414.4,68.2,52.1,226.3,95.3,33.5,128.8,172.6,23.2,46.5,61.9,180.2,1265,266.1,18.9,320.2,56.9,59.8,174.5,25.6,117.2,104.6,35.2,33.4,122.7,47.5,921.3,150.2,172.9,34.6,50.9,13.9,99.4,27.9,15.2,43.1,67.9,13.1,24.3,28.7,84.4,25.2,515.6,88.2,31.4,105.9,10.3,49.3,6.4,25,48.3,7.9,13.9,36.2,17,31.4,296.1,103.3,12.1,13.8,129.2,28.2,56.2,21.8,7.2,29,42,7,14.6,11.4,42,10.3,18.1,316.4,27.8,30.3,5.2,1.8,3.6,5.5,82.7,NA,NA,NA,NA,13.2,1.4,16.1,5.1,2.4,10.2,3.4,2.1,5.4,8.8,1.1,2,8.3,56.3,972.6,80.4,153.5,1206.4,208.7,273.5,150.1,632.4,267.2,92.1,359.3,459.1,68.5,136.6,156.1,491.1,192,3486.8,52.1,359.3,30.3,2.4,35.2,95.3,82.7,5.1,13.1,3.4,1.8,972.6,172.6,180.2
1982 Aug,299.2,42.1,403.8,66,54.2,217.1,82.8,29.4,112.3,169.6,21.4,44.8,60.7,178.1,1217.6,247.2,19,300.1,56.7,62.2,178.1,23.5,108.7,92.5,34.7,33.2,122,49.3,883.2,144,165.9,32.9,51.6,12.8,97.3,27.4,14.1,41.5,66.5,13,23.6,27.7,82.1,25.6,501.4,82.3,31.1,99.7,10.6,48.9,6,23.1,49.4,8.3,13.7,36.1,17.5,31.1,288.4,96.6,12,13.3,121.9,27.4,55,18.7,6.6,25.3,38.5,6.8,15.3,10.9,42.1,10.1,17.7,300.5,26.6,29,4.8,1.8,3.6,5.5,78.1,NA,NA,NA,NA,12.7,1.6,15.8,4.6,2.7,10.1,3.1,2,5,8.8,0.9,2,8.4,55.4,923.5,81.6,147.3,1152.5,206.2,262.7,153.7,622.6,241.5,83.7,325.2,438.4,65.2,134.7,152.8,485.7,192.7,3355.9,54.2,325.2,29,2.7,34.7,82.8,78.1,4.6,13,3.1,1.8,923.5,169.6,178.1
1982 Sep,305.4,42,411.8,62.3,53.6,213.4,89.4,32.2,121.6,181.4,21.8,43.9,61.2,176.5,1244.9,262.4,18.4,316.2,58.9,63.6,179.6,24.3,113.8,98.3,34.2,34.5,125.5,50.7,917.9,146.9,169.5,33.7,49.6,14.5,97.9,29.1,15.5,44.5,73.4,13,21.8,29,82.6,26.7,517.7,84.2,31.7,102,11.5,50.2,6.4,24.6,48.5,7.8,14.1,36,17.8,31.7,293,101.4,12.3,13.4,127.1,27,55.6,19.5,7.4,26.9,40.2,7.1,15.1,11.7,43.9,10.3,18.5,312.3,27.1,29.6,4.8,1.8,3.8,5.7,79.1,NA,NA,NA,NA,12.9,1.4,16,4.3,3.1,10,3.4,2.2,5.6,9.2,1,2.2,8.6,57.5,955.9,81.4,151.8,1189.1,200.9,263.1,157.9,622,256.2,90.1,346.3,465.1,66.8,130.4,157.2,489.9,197.6,3454.3,53.6,346.3,29.6,3.1,34.2,89.4,79.1,4.3,13,3.4,1.8,955.9,181.4,176.5
