Group ID,Group 01,Group 02,Group 03,Group 04,Group 05,Group 06,Group 07,Group 08,Group 09,Group 10,Group 11,Group 12,Group 13,Group 14
Series ID,A3349338X,A3349556W,A3349799R,A3349639C,A3349348C,A3349442X,A3349526J,A3349924R,A3349773T,A3349860R,A3349775W,A3349605F,A3349456L,A3349822A
NA,Turnover ;  New South Wales ;  Other specialised food retailing ;,Turnover ;  New South Wales ;  Newspaper and book retailing ;,Turnover ;  Victoria ;  Other specialised food retailing ;,Turnover ;  Victoria ;  Newspaper and book retailing ;,Turnover ;  Queensland ;  Newspaper and book retailing ;,Turnover ;  Tasmania ;  Newspaper and book retailing ;,"Turnover ;  Northern Territory ;  Furniture, floor coverings, houseware and textile goods retailing ;",Turnover ;  Northern Territory ;  Newspaper and book retailing ;,Turnover ;  Australian Capital Territory ;  Newspaper and book retailing ;,Turnover ;  Total (State) ;  Newspaper and book retailing ;,"Turnover ;  Australian Capital Territory ;  Pharmaceutical, cosmetic and toiletry goods retailing ;",Turnover ;  Australian Capital Territory ;  Other specialised food retailing ;,"Turnover ;  Australian Capital Territory ;  Furniture, floor coverings, houseware and textile goods retailing ;",Turnover ;  Western Australia ;  Newspaper and book retailing ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
1982 Apr,63.9,50.4,34.9,42.2,18.4,2.9,NA,NA,2.3,135.1,2.5,1.6,2.7,9.7
1982 May,64,49.9,34.6,42.1,17.7,2.9,NA,NA,2.5,134.9,2.5,1.6,3,11
1982 Jun,62.7,48,34.6,38.5,17.7,2.9,NA,NA,2.3,128.2,2.5,1.7,2.5,10.7
1982 Jul,65.6,48.6,35.2,38.9,18.4,3.1,NA,NA,2.6,129.9,2.6,1.6,2.8,9
1982 Aug,62.6,51.3,33.8,39.5,17.8,3.1,NA,NA,2.6,133,2.8,1.6,2.8,9.1
1982 Sep,64.4,49.6,35.4,41.7,18.8,3.2,NA,NA,2.6,135.5,2.8,1.8,2.6,10
1982 Oct,66,51.6,38,46.2,20.2,2.9,NA,NA,2.7,140.6,2.6,1.7,3.7,7.7
1982 Nov,65.3,55.8,38.2,43.5,21.5,3.1,NA,NA,3,145.7,3.1,1.7,3.9,8.4
1982 Dec,77.9,69.9,43.9,57.2,30.9,4.6,NA,NA,4.9,194,3.9,1.9,4.2,11.8
1983 Jan,65.1,50.1,36,43.7,22.8,2.9,NA,NA,2.5,138.6,2.5,1.6,3,7.4
